,album_id,id,album_num,album_title
182,182,678d88b2-87b0-403b-b63d-5da7465aecc3,91,[Led Zeppelin IV]
183,183,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,91,Live Killers
184,184,678d88b2-87b0-403b-b63d-5da7465aecc3,92,The Best of the BBC Rock Hour #17
185,185,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,92,Live Killers
186,186,678d88b2-87b0-403b-b63d-5da7465aecc3,93,In Through the Out Door
187,187,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,93,Crazy Little Thing Called Love
188,188,678d88b2-87b0-403b-b63d-5da7465aecc3,94,In Through the Out Door
189,189,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,94,Crazy Little Thing Called Love
190,190,678d88b2-87b0-403b-b63d-5da7465aecc3,95,In Through the Out Door
191,191,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,95,Complete Kampuchea Concert
192,192,678d88b2-87b0-403b-b63d-5da7465aecc3,96,In Through the Out Door
193,193,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,96,Mustapha
194,194,678d88b2-87b0-403b-b63d-5da7465aecc3,97,In Through the Out Door
195,195,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,97,Crazy Little Thing Called Love
196,196,678d88b2-87b0-403b-b63d-5da7465aecc3,98,Fool in the Rain / Hot Dog
197,197,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,98,Live Killers
198,198,678d88b2-87b0-403b-b63d-5da7465aecc3,99,"1980-07-07: Berlin, Germany"
199,199,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,99,Live Killers
